close,date
97.3056,2015-04-23
96.9079,2015-04-24
96.7557,2015-04-27
96.0838,2015-04-28
95.1982,2015-04-29
94.8313,2015-04-30
95.4227,2015-05-04
95.1201,2015-05-05
94.147,2015-05-06
94.6012,2015-05-07
94.8102,2015-05-08
95.0363,2015-05-11
94.5413,2015-05-12
93.6716,2015-05-13
93.3873,2015-05-14
93.2684,2015-05-15
94.1663,2015-05-18
95.3066,2015-05-19
95.6257,2015-05-20
95.4099,2015-05-21
96.2011,2015-05-22
96.3832,2015-05-25
97.2944,2015-05-26
97.2726,2015-05-27
96.9465,2015-05-28
96.86,2015-05-29
97.46,2015-06-01
95.93,2015-06-02
95.35,2015-06-03
95.59,2015-06-04
96.37,2015-06-05
95.24,2015-06-08
95.18,2015-06-09
94.66,2015-06-10
95.14,2015-06-11
94.97,2015-06-12
94.7943,2015-06-15
94.9454,2015-06-16
94.2461,2015-06-17
94.0267,2015-06-18
94.1,2015-06-19
95.4184,2015-06-23
95.2772,2015-06-24
95.2119,2015-06-25
95.4284,2015-06-26
94.9534,2015-06-29
95.5016,2015-06-30
96.2528,2015-07-01
96.1261,2015-07-02
95.9509,2015-07-03
96.2564,2015-07-06
96.7403,2015-07-07
96.2079,2015-07-08
96.4315,2015-07-09
95.8468,2015-07-10
96.7929,2015-07-13
96.6523,2015-07-14
97.1565,2015-07-15
97.6552,2015-07-16
97.9635,2015-07-17
98.0731,2015-07-20
97.3371,2015-07-21
97.4347,2015-07-22
97.2223,2015-07-23
97.2414,2015-07-24
96.5452,2015-07-27
96.6519,2015-07-28
97.1898,2015-07-29
97.485,2015-07-30
97.2276,2015-07-31
97.4863,2015-08-03
97.9392,2015-08-04
97.9178,2015-08-05
97.8139,2015-08-06
97.6178,2015-08-07
97.1855,2015-08-10
97.198,2015-08-11
96.3251,2015-08-12
96.3754,2015-08-13
96.6024,2015-08-14
96.819,2015-08-17
97.0017,2015-08-18
96.4418,2015-08-19
95.7787,2015-08-20
94.8598,2015-08-21
93.5158,2015-08-24
94.0134,2015-08-25
95.34,2015-08-26
95.7701,2015-08-27
95.7727,2015-08-28
95.9885,2015-08-31
95.32,2015-09-01
95.911,2015-09-02
96.1471,2015-09-07
95.8817,2015-09-08
95.8939,2015-09-09
95.547,2015-09-10
95.1718,2015-09-11
95.258,2015-09-14
95.6286,2015-09-15
95.3398,2015-09-16
94.5509,2015-09-17
95.1593,2015-09-18
95.9249,2015-09-21
96.3323,2015-09-22
96.1849,2015-09-23
96.2721,2015-09-24
96.2585,2015-09-25
95.9687,2015-09-28
95.9103,2015-09-29
96.2692,2015-09-30
95.2894,2015-10-08
94.9041,2015-10-09
94.8782,2015-10-12
94.7781,2015-10-13
93.9143,2015-10-14
94.448,2015-10-15
94.7346,2015-10-16
94.9176,2015-10-19
94.8602,2015-10-20
95.0499,2015-10-21
96.366,2015-10-22
97.0584,2015-10-23
96.8048,2015-10-26
96.8792,2015-10-27
97.6195,2015-10-28
97.2199,2015-10-29
96.8961,2015-10-30
96.9097,2015-11-02
97.1675,2015-11-03
97.8856,2015-11-04
97.9926,2015-11-05
99.1658,2015-11-06
99.0496,2015-11-09
99.1696,2015-11-10
